MaterialNumber,VendorName,ParentMaterialNumber,MaterialCode,SequenceId,CurrentSequenceId,TotalRecords,UnitOfIssue,BatchManaged,ProcessOrderRequired
31777,Costco,58971,AA,4000,4000,100,kg,0,0
36178,Walmart,58423,BA,100,100,100,kg,0,0
32144,Winco,58913,CA,200,200,100,kg,0,0
32716,Liquor Store,58245,DA,800,800,100,kg,0,0
32409,Wine Palace,58143,EA,900,900,100,kg,0,0
30173,Bevmo,58765,FA,100,100,100,kg,0,0
3282571,Stop N Shop,58971,AA,800,800,100,kg,0,0
3322187,Ralphs,58423,BA,600,600,100,kg,0,0
3665760,7 Eleven,58913,CA,3000,3000,100,kg,0,0
3081971,Faith's,58245,DA,900,900,100,kg,0,0
3589067,Ranch,58143,EA,200,200,100,kg,0,0
3579790,Russia,58765,FA,1000,1000,100,kg,0,0
3372033,Reclaim,58971,AA,400,400,100,kg,0,0
3195356,Reclaim,58423,BA,1000,1000,100,kg,0,0
3531374,Reclaim,58913,CA,200,200,100,kg,0,0
3948173,Reclaim,58245,DA,800,800,100,kg,0,0
3473903,Reclaim,58143,EA,100,100,100,kg,0,0
3789434,Reclaim,58765,FA,2000,2000,100,kg,0,0
